Sport,PlayerRank,PlayerName,PlayerHomeTown,RankingAvailable,AltertivePlayerlink
Basketball,54,Taylor Hendricks,"Calvary Christian AcademyFort Lauderdale, FL",https://www.on3.com/college/ucf-knights/basketball/2023/industry-comparison-commits/,
Basketball,55,GG Jackson,"Ridge ViewColumbia, SC",https://www.on3.com/college/south-caroli-gamecocks/basketball/2023/industry-comparison-commits/,
Basketball,56,Boogie Ellis,"Mission BaySan Diego, CA",https://www.on3.com/college/usc-trojans/basketball/2023/industry-comparison-commits/,
Basketball,57,MJ Rice,"Prolific PrepMouth Of Wilson, VA",,https://www.on3.com/db/mj-rice-90055/nil/
Basketball,58,Brice Sensabaugh,"Lake Highland PrepOrlando, FL",https://www.on3.com/college/ohio-state-buckeyes/basketball/2023/industry-comparison-commits/,
Basketball,59,Jeremy Roach,"Paul VI CatholicFairfax, VA",https://www.on3.com/college/duke-blue-devils/basketball/2023/industry-comparison-commits/,
Basketball,60,Tyson Walker,"New Hampton SchoolNew Hampton, NH",https://www.on3.com/college/michigan-state-spartans/basketball/2023/industry-comparison-commits/,
Basketball,61,Kerr Kriisa,EstoniaTartu,https://www.on3.com/college/west-virginia-mountaineers/basketball/2023/industry-comparison-commits/,
Basketball,62,Bryce Hopkins,"FenwickOak Park, IL",,https://www.on3.com/db/bryce-hopkins-15817/nil/
Basketball,63,Terquavion Smith,"Farmville CentralFarmville, NC",https://www.on3.com/college/nc-state-wolfpack/basketball/2023/industry-comparison-commits/,
Basketball,64,Leaky Black,"Cox MillConcord, NC",https://www.on3.com/college/north-caroli-tar-heels/basketball/2023/industry-comparison-commits/,
Basketball,65,Kobe Brown,"LeeHuntsville, AL",https://www.on3.com/college/missouri-tigers/basketball/2023/industry-comparison-commits/,
Basketball,66,Max Abmas,"JesuitDallas, TX",,https://www.on3.com/db/max-abmas-150058/nil/
Basketball,67,Jett Howard,"IMG AcademyBradenton, FL",https://www.on3.com/college/michigan-wolverines/basketball/2023/industry-comparison-commits/,
Basketball,68,K.D. Johnson,"Hargrave Military Academy (HS)Chatham, VA",,https://www.on3.com/db/kd-johnson-144132/nil/
Basketball,69,Dereck Lively II,"Westtown SchoolBellefonte, PA",https://www.on3.com/college/duke-blue-devils/basketball/2023/industry-comparison-commits/,
Basketball,70,JJ Starling,"La Lumiere SchoolBaldwinsville, NY",https://www.on3.com/college/syracuse-orange/basketball/2023/industry-comparison-commits/,
Basketball,71,Dajuan Harris,"Rock BridgeColumbia, MO",https://www.on3.com/college/kansas-jayhawks/basketball/2023/industry-comparison-commits/,
Basketball,72,Jaylen Clark,"EtiwandaRancho Cucamonga, CA",https://www.on3.com/college/ucla-bruins/basketball/2023/industry-comparison-commits/,
Basketball,73,Wade Taylor,"LancasterLancaster, TX",https://www.on3.com/college/texas-am-aggies/basketball/2023/industry-comparison-commits/,
Basketball,74,Doug Edert,"Bergen CatholicNutley, NJ",https://www.on3.com/college/bryant-bulldogs/basketball/2023/industry-comparison-commits/,
Basketball,75,Julian Strawther,"LibertyHenderson, NV",https://www.on3.com/college/gonzaga-bulldogs/basketball/2023/industry-comparison-commits/,
Basketball,76,Ryan Kalkbrenner,"Trinity CatholicSaint Louis, MO",https://www.on3.com/college/creighton-bluejays/basketball/2023/industry-comparison-commits/,
Basketball,77,Hercy Miller,"Minnehaha AcademyMinneapolis, MN",https://www.on3.com/college/louisville-cardils/basketball/2023/industry-comparison-commits/,
Basketball,78,Nolan Hickman,"Wasatch AcademyMount Pleasant, UT",https://www.on3.com/college/gonzaga-bulldogs/basketball/2023/industry-comparison-commits/,
Basketball,79,Cam'Ron Fletcher,"VashonSaint Louis, MO",https://www.on3.com/college/florida-state-seminoles/basketball/2023/industry-comparison-commits/,
Basketball,80,Davonte Davis,"JacksonvilleJacksonville, AR",https://www.on3.com/college/arkansas-razorbacks/basketball/2023/industry-comparison-commits/,
Basketball,81,Adam Miller,"Morgan Park HSChicago, IL",,https://www.on3.com/db/adam-miller-1263/nil/
Basketball,82,Kobe Bufkin,"Grand Rapids ChristianGrand Rapids, MI",https://www.on3.com/college/michigan-wolverines/basketball/2023/industry-comparison-commits/,
Basketball,83,Santiago Vescovi,NBA Academy Latin AmericaMontevideo,https://www.on3.com/college/tennessee-volunteers/basketball/2023/industry-comparison-commits/,
Basketball,84,Meechie Johnson,"Andrews Osborne AcademyCleveland, OH",https://www.on3.com/college/south-caroli-gamecocks/basketball/2023/industry-comparison-commits/,
Basketball,85,Kevin Miller,"Victory Rock PrepBradenton, FL",https://www.on3.com/college/wake-forest-demon-deacons/basketball/2023/industry-comparison-commits/,
Basketball,86,Jayden Gardner,"HeritageWake Forest, NC",https://www.on3.com/college/virginia-cavaliers/basketball/2023/industry-comparison-commits/,
Basketball,87,Judah Mintz,"Oak Hill AcademyWashington, DC",https://www.on3.com/college/syracuse-orange/basketball/2023/industry-comparison-commits/,
Basketball,88,Noah Clowney,"DormanRoebuck, SC",https://www.on3.com/college/alabama-crimson-tide/basketball/2023/industry-comparison-commits/,
Basketball,89,Alijah Martin,"North PikeSummit, MS",https://www.on3.com/college/florida-atlantic-owls/basketball/2023/industry-comparison-commits/,
Basketball,90,Devan Cambridge,"Hillcrest PrepPhoenix, AZ",,https://www.on3.com/db/devan-cambridge-35756/nil/
Basketball,91,Jordan Miller,"Loudoun ValleyPurcellville, VA",https://www.on3.com/college/miami-hurricanes/basketball/2023/industry-comparison-commits/,
Basketball,92,Nijel Pack,"Lawrence CentralIndianapolis, IN",https://www.on3.com/college/miami-hurricanes/basketball/2023/industry-comparison-commits/,
Basketball,93,Jamarion Sharp,"HopkinsvilleCarterville, IL",,https://www.on3.com/db/jamarion-sharp-55174/nil/
Basketball,94,DaRon Holmes,"Montverde AcademyMontverde, FL",https://www.on3.com/college/dayton-flyers/basketball/2023/industry-comparison-commits/,
Basketball,95,Kowacie Reeves,"WestsideMacon, GA",https://www.on3.com/college/georgia-tech-yellow-jackets/basketball/2023/industry-comparison-commits/,
Basketball,96,Brandon Murray,"IMG AcademyBradenton, FL",https://www.on3.com/college/ole-miss-rebels/basketball/2023/industry-comparison-commits/,
Basketball,97,Jarkel Joiner,"OxfordOxford, MS",https://www.on3.com/college/nc-state-wolfpack/basketball/2023/industry-comparison-commits/,
Basketball,98,DeAndre Williams,"Nation Wide AcademyHouston, TX",https://www.on3.com/college/memphis-tigers/basketball/2023/industry-comparison-commits/,
Basketball,99,Kam Jones,"Evangelical Christian SchoolMemphis, TN",,https://www.on3.com/db/kam-jones-160199/nil/
